recommendation_id,user_id,content
1,1,I usually close myself out from the outside world and listen to this
2,44,I listen to this while being stuck in a jam
3,60,It's good for travelling on a long ride.
4,36,It's good for travelling on a long ride.
5,99,It really matches the atmosphere while I sip my coffee hahaha
6,7,I love how the song matches the vibes at the coffeeplace I always visit!
7,5,It's good for travelling on a long ride.
8,49,Morning trains can get really crowded and smelly but this helps me to stay away mentally
9,54,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
10,58,I feel very much at ease at the coffeehouse near my house after listening to the song.
11,35,I feel very much at ease at the coffeehouse near my house after listening to the song.
12,71,I usually close myself out from the outside world and listen to this
13,20,It keeps me less bored while doing my work
14,99,I enjoy walking past and watching people in the streets and this song makes my day even better.
15,71,The song allows me to absorb the cafe place surroundings.
16,38,Love it!!!
17,59,Love it when I can blast this out loud at home
18,97,This song adds so much bounce in my steps I feel like dancing.
19,27,Feel very at ease at home with this
20,5,I feel very much at ease at the coffeehouse near my house after listening to the song.
21,18,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
22,67,Love it when I can blast this out loud at home
23,24,I feel very much at ease at the coffeehouse near my house after listening to the song.
24,4,I love how the song matches the vibes at the coffeeplace I always visit!
25,75,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
26,8,I enjoy walking past and watching people in the streets and this song makes my day even better.
27,68,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
28,47,This song adds so much bounce in my steps I feel like dancing.
29,35,I enjoy walking past and watching people in the streets and this song makes my day even better.
30,13,Feel very at ease at home with this
31,24,I usually close myself out from the outside world and listen to this
32,74,It brightens up my office surroundings.
33,50,Feel very at ease at home with this
34,9,Love it!!!
35,41,Love it when I can blast this out loud at home
36,35,Love it!!!
37,71,Love it!!!
38,98,It fits the vibe whenever I walk in a dark empty street somehow.
39,27,Love it!!!
40,31,I usually close myself out from the outside world and listen to this
41,90,I usually close myself out from the outside world and listen to this
42,8,Love it!!!
43,35,I usually close myself out from the outside world and listen to this
44,54,Love it!!!
45,15,I enjoy walking past and watching people in the streets and this song makes my day even better.
46,55,I feel very much at ease at the coffeehouse near my house after listening to the song.
47,65,The song allows me to absorb the cafe place surroundings.
48,55,Love it when I can blast this out loud at home
49,41,Feel very at ease at home with this
50,22,I usually close myself out from the outside world and listen to this
51,67,Love it when I can blast this out loud at home
52,87,Feel very at ease at home with this
53,73,I used to listen whenever I'm in the school library
54,86,Love it when I can blast this out loud at home
55,64,Love it!!!
56,58,Feel very at ease at home with this
57,26,Love it!!!
58,56,Love it!!!
59,65,I usually close myself out from the outside world and listen to this
60,76,Love it when I can blast this out loud at home
61,41,I usually close myself out from the outside world and listen to this
62,84,Love it!!!
63,19,Feel very at ease at home with this
64,17,Love it when I can blast this out loud at home
65,82,I usually close myself out from the outside world and listen to this
66,24,Love it when I can blast this out loud at home
67,92,Love it!!!
68,1,I used to listen whenever I'm in the school library
69,28,"School can get a little boring, but this song keeps me going."
70,48,"School can get a little boring, but this song keeps me going."
71,70,"I never liked heading to school, but this song always make my time better."
72,47,I used to listen whenever I'm in the school library
73,18,"School can get a little boring, but this song keeps me going."
74,51,"I never liked heading to school, but this song always make my time better."
75,7,I always listen to this when I'm heading to school
76,24,"School can get a little boring, but this song keeps me going."
77,52,I love how the song matches the vibes at the coffeeplace I always visit!
78,2,Love it when I can blast this out loud at home
79,63,Feel very at ease at home with this
80,73,I enjoy walking past and watching people in the streets and this song makes my day even better.
81,60,I put this on to when I don't want to hear my boss giving me more work
82,16,I usually close myself out from the outside world and listen to this
83,60,Feel very at ease at home with this
84,44,Love it when I can blast this out loud at home
85,35,Love it when I can blast this out loud at home
86,17,Love it when I can blast this out loud at home
87,72,Morning trains can get really crowded and smelly but this helps me to stay away mentally
88,54,Morning trains can get really crowded and smelly but this helps me to stay away mentally
89,13,Love it!!!
90,30,Feel very at ease at home with this
91,36,Love it when I can blast this out loud at home
92,6,Love it when I can blast this out loud at home
93,69,Love it when I can blast this out loud at home
94,86,I usually close myself out from the outside world and listen to this
95,37,It's good for travelling on a long ride.
96,22,Morning trains can get really crowded and smelly but this helps me to stay away mentally
97,19,I put this on to when I don't want to hear my boss giving me more work
98,58,It brightens up my office surroundings.
99,3,I put this on to when I don't want to hear my boss giving me more work
100,93,It keeps me less bored while doing my work
101,31,Love it!!!
102,94,Love it when I can blast this out loud at home
103,91,Love it when I can blast this out loud at home
104,24,Feel very at ease at home with this
105,39,Morning trains can get really crowded and smelly but this helps me to stay away mentally
106,4,I feel very much at ease at the coffeehouse near my house after listening to the song.
107,44,It really matches the atmosphere while I sip my coffee hahaha
108,53,I feel very much at ease at the coffeehouse near my house after listening to the song.
109,96,It really matches the atmosphere while I sip my coffee hahaha
110,97,I usually close myself out from the outside world and listen to this
111,30,Love it!!!
112,8,Love it when I can blast this out loud at home
113,13,Love it!!!
114,44,Love it!!!
115,4,Love it when I can blast this out loud at home
116,59,Feel very at ease at home with this
117,95,Love it!!!
118,1,I usually close myself out from the outside world and listen to this
119,59,Love it!!!
120,72,Love it when I can blast this out loud at home
121,93,Love it when I can blast this out loud at home
122,28,I usually close myself out from the outside world and listen to this
123,33,Feel very at ease at home with this
124,63,Love it when I can blast this out loud at home
125,55,I enjoy walking past and watching people in the streets and this song makes my day even better.
126,59,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
127,98,I enjoy walking past and watching people in the streets and this song makes my day even better.
128,49,It fits the vibe whenever I walk in a dark empty street somehow.
129,15,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
130,97,It fits the vibe whenever I walk in a dark empty street somehow.
131,45,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
132,35,I enjoy walking past and watching people in the streets and this song makes my day even better.
133,25,I enjoy walking past and watching people in the streets and this song makes my day even better.
134,48,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
135,78,This song adds so much bounce in my steps I feel like dancing.
136,78,I usually close myself out from the outside world and listen to this
137,61,Love it when I can blast this out loud at home
138,57,I usually close myself out from the outside world and listen to this
139,4,Feel very at ease at home with this
140,18,Feel very at ease at home with this
141,57,Feel very at ease at home with this
142,76,Feel very at ease at home with this
143,23,Love it when I can blast this out loud at home
144,9,Love it!!!
145,66,I usually close myself out from the outside world and listen to this
146,50,Feel very at ease at home with this
147,1,Love it!!!
148,78,Love it when I can blast this out loud at home
149,70,I usually close myself out from the outside world and listen to this
150,22,Love it!!!
151,91,Love it!!!
152,58,Feel very at ease at home with this
153,72,Feel very at ease at home with this
154,60,Love it!!!
155,25,Love it!!!
156,67,Love it when I can blast this out loud at home
157,75,Feel very at ease at home with this
158,35,Love it!!!
159,80,Love it when I can blast this out loud at home
160,65,Love it!!!
161,7,Love it when I can blast this out loud at home
162,87,Love it!!!
163,29,Feel very at ease at home with this
164,34,I usually close myself out from the outside world and listen to this
165,20,Love it!!!
166,83,Love it when I can blast this out loud at home
167,57,I usually close myself out from the outside world and listen to this
168,83,Feel very at ease at home with this
169,17,I usually close myself out from the outside world and listen to this
170,60,I usually close myself out from the outside world and listen to this
171,61,Love it when I can blast this out loud at home
172,28,Love it when I can blast this out loud at home
173,12,Love it!!!
174,52,I usually close myself out from the outside world and listen to this
175,43,I usually close myself out from the outside world and listen to this
176,2,Love it when I can blast this out loud at home
177,41,Love it when I can blast this out loud at home
178,30,I usually close myself out from the outside world and listen to this
179,40,Love it!!!
180,5,Love it!!!
181,25,Love it when I can blast this out loud at home
182,1,Love it when I can blast this out loud at home
183,74,Love it when I can blast this out loud at home
184,22,Feel very at ease at home with this
185,87,I usually close myself out from the outside world and listen to this
186,61,I usually close myself out from the outside world and listen to this
187,2,Love it when I can blast this out loud at home
188,18,Feel very at ease at home with this
189,52,Time passes so much faster with this song when there's a jam
190,84,Morning trains can get really crowded and smelly but this helps me to stay away mentally
191,20,Time passes so much faster with this song when there's a jam
192,1,Time passes so much faster with this song when there's a jam
193,68,Morning trains can get really crowded and smelly but this helps me to stay away mentally
194,63,Time passes so much faster with this song when there's a jam
195,59,Morning trains can get really crowded and smelly but this helps me to stay away mentally
196,91,It's good for travelling on a long ride.
197,7,Morning trains can get really crowded and smelly but this helps me to stay away mentally
198,68,It's good for travelling on a long ride.
199,88,I listen to this while being stuck in a jam
200,32,Time passes so much faster with this song when there's a jam
201,54,Morning trains can get really crowded and smelly but this helps me to stay away mentally
202,47,"I never liked heading to school, but this song always make my time better."
203,47,I used to listen whenever I'm in the school library
204,19,I always listen to this when I'm heading to school
205,3,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
206,31,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
207,92,I enjoy walking past and watching people in the streets and this song makes my day even better.
208,39,It fits the vibe whenever I walk in a dark empty street somehow.
209,40,It fits the vibe whenever I walk in a dark empty street somehow.
210,82,I usually close myself out from the outside world and listen to this
211,87,Love it!!!
212,1,It fits the vibe whenever I walk in a dark empty street somehow.
213,59,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
214,58,It fits the vibe whenever I walk in a dark empty street somehow.
215,51,It fits the vibe whenever I walk in a dark empty street somehow.
216,60,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
217,47,This song adds so much bounce in my steps I feel like dancing.
218,82,The song allows me to absorb the cafe place surroundings.
219,9,I love how the song matches the vibes at the coffeeplace I always visit!
220,81,The song allows me to absorb the cafe place surroundings.
221,38,I feel very much at ease at the coffeehouse near my house after listening to the song.
222,44,The song allows me to absorb the cafe place surroundings.
223,31,Love it!!!
224,8,Love it when I can blast this out loud at home
225,54,Love it when I can blast this out loud at home
226,22,Feel very at ease at home with this
227,76,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
228,39,I enjoy walking past and watching people in the streets and this song makes my day even better.
229,59,I enjoy walking past and watching people in the streets and this song makes my day even better.
230,97,I enjoy walking past and watching people in the streets and this song makes my day even better.
231,40,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
232,54,I enjoy walking past and watching people in the streets and this song makes my day even better.
233,15,I enjoy walking past and watching people in the streets and this song makes my day even better.
234,72,It fits the vibe whenever I walk in a dark empty street somehow.
235,77,Love it!!!
236,63,Love it!!!
237,31,Love it when I can blast this out loud at home
238,80,I usually close myself out from the outside world and listen to this
239,15,Love it when I can blast this out loud at home
240,87,Love it!!!
241,25,Feel very at ease at home with this
242,44,Love it!!!
243,61,Love it!!!
244,71,Love it when I can blast this out loud at home
245,41,Love it!!!
246,10,Feel very at ease at home with this
247,22,I usually close myself out from the outside world and listen to this
248,67,I usually close myself out from the outside world and listen to this
249,80,Feel very at ease at home with this
250,95,I usually close myself out from the outside world and listen to this
251,2,Love it!!!
252,39,Love it!!!
253,32,Love it when I can blast this out loud at home
254,68,Feel very at ease at home with this
255,9,I usually close myself out from the outside world and listen to this
256,75,Feel very at ease at home with this
257,74,Morning trains can get really crowded and smelly but this helps me to stay away mentally
258,61,Morning trains can get really crowded and smelly but this helps me to stay away mentally
259,34,Time passes so much faster with this song when there's a jam
260,54,It's good for travelling on a long ride.
261,95,Time passes so much faster with this song when there's a jam
262,10,It's good for travelling on a long ride.
263,53,Morning trains can get really crowded and smelly but this helps me to stay away mentally
264,18,Time passes so much faster with this song when there's a jam
265,30,Morning trains can get really crowded and smelly but this helps me to stay away mentally
266,80,Time passes so much faster with this song when there's a jam
267,70,It's good for travelling on a long ride.
268,15,I listen to this while being stuck in a jam
269,64,Time passes so much faster with this song when there's a jam
270,38,I listen to this while being stuck in a jam
271,72,I love how the song matches the vibes at the coffeeplace I always visit!
272,47,I love how the song matches the vibes at the coffeeplace I always visit!
273,45,It really matches the atmosphere while I sip my coffee hahaha
274,99,The song allows me to absorb the cafe place surroundings.
275,43,It really matches the atmosphere while I sip my coffee hahaha
276,3,The song allows me to absorb the cafe place surroundings.
277,87,I love how the song matches the vibes at the coffeeplace I always visit!
278,24,It really matches the atmosphere while I sip my coffee hahaha
279,42,I feel very much at ease at the coffeehouse near my house after listening to the song.
280,54,It really matches the atmosphere while I sip my coffee hahaha
281,85,I feel very much at ease at the coffeehouse near my house after listening to the song.
282,5,I love how the song matches the vibes at the coffeeplace I always visit!
283,19,I feel very much at ease at the coffeehouse near my house after listening to the song.
284,37,I love how the song matches the vibes at the coffeeplace I always visit!
285,51,I love how the song matches the vibes at the coffeeplace I always visit!
286,75,I love how the song matches the vibes at the coffeeplace I always visit!
287,38,It really matches the atmosphere while I sip my coffee hahaha
288,66,The song allows me to absorb the cafe place surroundings.
289,79,I love how the song matches the vibes at the coffeeplace I always visit!
290,56,I feel very much at ease at the coffeehouse near my house after listening to the song.
291,66,I love how the song matches the vibes at the coffeeplace I always visit!
292,35,I feel very much at ease at the coffeehouse near my house after listening to the song.
293,7,The song allows me to absorb the cafe place surroundings.
294,34,The song allows me to absorb the cafe place surroundings.
295,37,The song allows me to absorb the cafe place surroundings.
296,13,I love how the song matches the vibes at the coffeeplace I always visit!
297,79,The song allows me to absorb the cafe place surroundings.
298,48,I love how the song matches the vibes at the coffeeplace I always visit!
299,56,It really matches the atmosphere while I sip my coffee hahaha
300,10,It fits the vibe whenever I walk in a dark empty street somehow.
301,94,I enjoy walking past and watching people in the streets and this song makes my day even better.
302,56,This song adds so much bounce in my steps I feel like dancing.
303,87,This song adds so much bounce in my steps I feel like dancing.
304,76,I enjoy walking past and watching people in the streets and this song makes my day even better.
305,8,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
306,96,This song adds so much bounce in my steps I feel like dancing.
307,55,I used to listen whenever I'm in the school library
308,42,I always listen to this when I'm heading to school
309,32,I always listen to this when I'm heading to school
310,18,This song adds so much bounce in my steps I feel like dancing.
311,39,This song adds so much bounce in my steps I feel like dancing.
312,70,This song adds so much bounce in my steps I feel like dancing.
313,41,This song adds so much bounce in my steps I feel like dancing.
314,20,This song adds so much bounce in my steps I feel like dancing.
315,6,I enjoy walking past and watching people in the streets and this song makes my day even better.
316,85,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
317,45,This song adds so much bounce in my steps I feel like dancing.
318,40,It fits the vibe whenever I walk in a dark empty street somehow.
319,28,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
320,96,I enjoy walking past and watching people in the streets and this song makes my day even better.
321,65,This song adds so much bounce in my steps I feel like dancing.
322,39,This song adds so much bounce in my steps I feel like dancing.
323,14,I enjoy walking past and watching people in the streets and this song makes my day even better.
324,17,I enjoy walking past and watching people in the streets and this song makes my day even better.
325,57,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
326,19,It fits the vibe whenever I walk in a dark empty street somehow.
327,58,I enjoy walking past and watching people in the streets and this song makes my day even better.
328,43,It fits the vibe whenever I walk in a dark empty street somehow.
329,1,I enjoy walking past and watching people in the streets and this song makes my day even better.
330,43,It fits the vibe whenever I walk in a dark empty street somehow.
331,20,I enjoy walking past and watching people in the streets and this song makes my day even better.
332,41,I enjoy walking past and watching people in the streets and this song makes my day even better.
333,25,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
334,59,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
335,31,It helps to isolate me away from the people in the street and I feel like I'm in my own world while listen to this song.
336,90,This song adds so much bounce in my steps I feel like dancing.
337,97,It fits the vibe whenever I walk in a dark empty street somehow.
338,93,This song adds so much bounce in my steps I feel like dancing.
